Effective date ,Dow Jones Commodity Index Lean Hogs
2/10/2016,157.58
2/11/2016,160.12
2/12/2016,162.25
2/16/2016,161.73
2/17/2016,164.03
2/18/2016,163.17
2/19/2016,158.85
2/22/2016,159.65
2/23/2016,161.27
2/24/2016,164.78
2/25/2016,163.98
2/26/2016,163.34
2/29/2016,161.33
3/1/2016,162.31
3/2/2016,161.5
3/3/2016,162.19
3/4/2016,163.23
3/7/2016,166.64
3/8/2016,171.68
3/9/2016,180.68
3/10/2016,186.18
3/11/2016,191.53
3/14/2016,191.41
3/15/2016,192.05
3/16/2016,193.08
3/17/2016,193.2
3/18/2016,193.43
3/21/2016,188.7
3/22/2016,191.01
3/23/2016,190.84
3/24/2016,186.4
3/28/2016,190.09
3/29/2016,191.18
3/30/2016,188.01
3/31/2016,186.4
4/1/2016,183
4/4/2016,181.5
4/5/2016,182.13
4/6/2016,184.38
4/7/2016,184.61
4/8/2016,186.46
4/11/2016,183.57
4/12/2016,182.59
4/13/2016,180.06
4/14/2016,177.81
4/15/2016,178.96
4/18/2016,179.42
4/19/2016,181.96
4/20/2016,183.52
4/21/2016,183.34
4/22/2016,181.73
4/25/2016,180.86
4/26/2016,179.42
4/27/2016,183.23
4/28/2016,186.22
4/29/2016,188.36
5/2/2016,190.66
5/3/2016,191.18
5/4/2016,188.65
5/5/2016,189.8
5/6/2016,187.83
5/9/2016,185.78
5/10/2016,187.49
5/11/2016,191.64
5/12/2016,191.93
5/13/2016,190.32
5/16/2016,192.28
5/17/2016,192.33
5/18/2016,188.88
5/19/2016,186.92
5/20/2016,185.01
5/23/2016,182.82
5/24/2016,183
5/25/2016,184.03
5/26/2016,187.38
5/27/2016,186.92
5/31/2016,187.78
6/1/2016,190.89
6/2/2016,194.7
6/3/2016,198.21
6/6/2016,200.12
6/7/2016,198.86
6/8/2016,200.91
6/9/2016,198.95
6/10/2016,199.29
6/13/2016,202.48
6/14/2016,205.94
6/15/2016,204.73
6/16/2016,206.34
6/17/2016,205.59
6/20/2016,205.07
6/21/2016,203.98
6/22/2016,197.93
6/23/2016,197
6/24/2016,195.91
6/27/2016,192.51
6/28/2016,193.6
6/29/2016,192.1
6/30/2016,191.99
7/1/2016,193.54
7/5/2016,191.93
7/6/2016,185.88
7/7/2016,184.73
7/8/2016,177.01
7/11/2016,171.02
7/12/2016,166.73
7/13/2016,161.11
7/14/2016,155.39
7/15/2016,152.16
7/18/2016,150.72
7/19/2016,148.24
7/20/2016,147.26
7/21/2016,143.57
7/22/2016,147.32
7/25/2016,148.36
7/26/2016,146.69
7/27/2016,140.75
7/28/2016,136.48
7/29/2016,136.14
8/1/2016,139.71
8/2/2016,139.54
8/3/2016,137.18
8/4/2016,134.87
8/5/2016,134.41
8/8/2016,135.68
8/9/2016,134.18
8/10/2016,135.97
8/11/2016,134.7
8/12/2016,138.33
8/15/2016,144.09
8/16/2016,137.98
8/17/2016,140.63
